,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10,2.3298424740970784e-15,1.825522260234259e-15,2.7284666167475878e-15,2.723079260098791e-15,1.423206925118642e-15,1.3109037099371603e-15,1.8147286637922023e-15,1.3421087375687566e-15,4.163508636672929e-16,1.350959953496267e-15,1.0000000000000024,2.7046360343068812e-15,2.0697140503721115e-15,1.8587341992311373e-15,1.983914658803997e-15,1.2909647397037964e-15,1.5067404640200587e-15,2.3113489373130003e-15,1.8394172006186586e-15,2.0280898134119625e-15,2.569159792102847e-15,2.245047125608443e-17,2.859289133963774e-15,1.7512027773494331e-15,3.018358678916665e-15
11,-3.3030163615957895e-16,3.6285012334495527e-16,-6.138003089533862e-16,-5.438155574140258e-16,-3.597455973822815e-16,-2.1025966931370432e-16,-5.646998728100155e-16,1.6317076052101303e-16,5.833387333705364e-16,-1.039503581202489e-15,-6.391695608707817e-16,0.9999999999999996,-2.9864250665854815e-16,-9.17535786203257e-16,-3.5935471376480125e-16,-9.11073818950097e-16,-5.421121768528161e-16,-4.3620978303303315e-16,-6.996167900899532e-16,-1.6911724134398854e-16,-1.3635999332706618e-15,7.181878476895782e-17,-4.3518316633602974e-16,3.204500424943835e-17,-1.3922503178927362e-15
12,2.79723019932354e-15,2.5162276962567488e-15,4.687341156682473e-15,2.2938691889159332e-15,3.608275487020467e-15,3.661555036495192e-15,3.432865238876855e-15,2.3150686386811814e-15,-7.705068138430192e-16,3.34667300052179e-15,5.338224676895855e-15,3.791703523300749e-15,1.0000000000000027,4.951089814313926e-15,1.0695276209744362e-15,3.2582826139729927e-15,1.9847458767251896e-15,4.050821309293425e-15,4.0222474321529315e-15,4.582539952847407e-15,6.865496371687032e-15,1.4681297086105538e-15,2.0527215540286863e-15,1.6373695406176632e-15,6.303059276563881e-15
13,-1.7365635495795479e-15,-2.1103338710171425e-15,-2.160759055472901e-15,-1.0655954416796452e-15,-1.50761677602145e-15,-1.8538504156455417e-15,-1.4443898271036355e-15,-1.4685476452847147e-15,-3.2214215612485926e-17,-8.172551383224899e-16,-2.578410397923019e-15,-7.324248637684002e-16,-1.8943307848622105e-15,0.9999999999999986,-8.353664411092119e-16,-3.751916117050165e-17,-5.55069637517604e-16,-2.606938585202564e-15,-1.6375525392095985e-15,-2.2823671684487245e-15,-2.5439780556114602e-15,-9.53793094582017e-16,-2.040668258092985e-15,-1.493576519199609e-15,-2.830364166804144e-15
14,-1.2715661547466117e-15,-5.546407809165816e-16,-1.3638840458337878e-15,-2.762972322921374e-16,-3.3003544757821257e-16,-1.164441730442613e-15,-1.3179460140509135e-15,-1.4732013832466708e-17,-5.020630597034581e-17,-5.747624734306258e-16,-2.2114943145449227e-15,-7.644978725909045e-16,-7.211559587261758e-16,-2.0796698611204485e-15,1.0,-1.0684361101829155e-15,-1.5611805672891727e-15,-1.121069533714772e-15,-1.2782507566888444e-15,-1.828651220867659e-15,-1.368149013678698e-15,-5.92172089869348e-16,-8.468627069785914e-16,-1.626009560379569e-18,-1.3418671247717616e-15
15,-2.234782274934169e-16,-7.825240140267357e-16,-1.9490771518459701e-16,-1.1910548615525963e-16,2.729706626562386e-16,-1.2351753591276241e-16,-4.504331307388144e-16,4.835468980076478e-16,-1.523354167448167e-16,4.527334090082812e-16,-7.781263055837036e-16,-8.029007052409388e-16,-5.386943843999142e-17,-3.7297928856889464e-17,-3.4371524239491846e-16,0.9999999999999996,-7.374774794970199e-16,4.0979789974313773e-16,-3.788606734014102e-16,-4.0276496647684164e-16,4.713366387448437e-16,3.529772170949005e-16,-2.2134695341668222e-17,-7.876041846649098e-17,7.824880441655641e-16
16,5.696786651265817e-17,-6.670616024824785e-16,3.66868713113206e-16,5.741174805803319e-16,2.3338921838832293e-16,5.02580376746472e-16,8.822054556556199e-16,1.6648951040540078e-16,-2.402504342946289e-16,1.2897781293878388e-15,8.063537882885811e-16,6.301956940719606e-16,2.0796991965484135e-16,6.640794401071713e-16,1.3254542863618459e-17,1.4617018394303737e-15,1.0000000000000013,4.579816852128749e-17,8.117331237808481e-16,3.608390130647425e-16,9.849395958970033e-16,1.2120327688703683e-15,-6.424535450545329e-16,-1.0678197003857009e-16,4.380145344700879e-16
17,-1.2109154842285305e-15,1.858302377288727e-16,-7.137874930939379e-16,-1.0865689658754483e-15,-9.257971369718619e-16,-3.6236614829298336e-16,-4.781737129444107e-16,-4.02371457297293e-16,3.828839160951319e-16,-1.3213895691996299e-15,-7.883709101008699e-16,-7.51109138532112e-16,-5.45553614724282e-16,-1.2057984799007724e-15,-4.548517496871802e-16,-1.1294069950585502e-17,-3.069598968888763e-17,0.9999999999999992,-3.1952887504281315e-16,-5.654142457968467e-16,-1.3290860696147771e-15,-1.7438703104956144e-16,-8.27366594970749e-16,-6.437667024444367e-16,-2.2090709330088315e-15
18,-7.05170331252494e-16,4.659081047808803e-16,-3.2543706042354934e-16,-8.729383930944274e-16,-1.0339509559330653e-15,-1.501976512705498e-16,4.86599062683784e-16,-1.1783308641439477e-15,2.7801498577972673e-16,-2.158241759636647e-16,3.3042825476769244e-16,-5.629733705750995e-16,-7.682352844712643e-16,-2.1261823449855464e-16,-4.615824605519857e-16,1.4714070300365155e-15,1.0359226671116004e-15,-7.830040269703526e-16,1.0000000000000004,7.128882162533344e-17,-1.0283688237906106e-15,4.46144330461156e-16,-1.5666183512488756e-15,-8.098037662936496e-16,-2.569803458739058e-15
19,2.5921666146625706e-16,2.0653627802712872e-16,-7.966370382288919e-17,8.473922021461493e-16,9.927203849419247e-16,2.7987034086959395e-16,-6.655369592031718e-16,7.186315627850285e-16,-1.7270615224128183e-16,-3.5897908416845914e-16,-5.93743316577186e-16,1.551149238973611e-16,4.87393385231998e-16,-6.509642983689304e-16,1.6129687175828423e-16,-1.01486833787099e-15,-6.197077309851228e-16,1.9597959246859245e-16,-4.689910654231258e-16,0.9999999999999998,1.818491436516458e-16,-2.4451421602923327e-16,9.415707335791894e-16,2.8594075962460706e-16,1.1717645457343446e-15
